"loc","loc.correct","Freq"
"brazil_sao paulo_sao sebastiao_sao sebastiao","",167
"brazil_sao paulo_juquia_reserva votorantim","",166
"brazil_sao paulo_aguas santa barbara_estacao ecologica aguas santa barbara","",165
"brazil_sao paulo_monte alegre sul_amparo","",165
"brazil_sao paulo_tapirai_uhe barra","",165
"brazil_sao paulo_miracatu_sitio irapua","",162
"brazil_sao paulo_taquaras","",161
"brazil_sao paulo_ilha comprida_ilha comprida","",158
"brazil_sao paulo_corumbatai_rodovia washington luiz","",157
"brazil_sao paulo_lavrinhas_12 km ao norte lavrinhas","",157
"brazil_sao paulo_guapiara_serra paranapiacaba, fazenda intervales","",156
"brazil_sao paulo_serra itapeti","",156
"brazil_sao paulo_eldorado_parque estadual intervales","",155
"brazil_sao paulo_guarei_sarandi","",155
"brazil_sao paulo_mogi cruzes_a","",155
"brazil_sao paulo_trilha cacadinha","",155
"brazil_sao paulo_sao luiz paraitinga_nucleo santa virginia","",154
"brazil_sao paulo_sao paulo_camping ana paula","",154
"brazil_sao paulo_anhembi_fazenda bacury, antes parte fazenda barreiro rico","",152
"brazil_sao paulo_jundiai_reserva biologica serra japi","",152
"brazil_sao paulo_ibiuna_pedro","",151
"brazil_sao paulo_itirapina_instituto florestal","",151
"brazil_sao paulo_ibiuna_mioko","",150
"brazil_sao paulo_ubatuba_praia brava","",150
"brazil_sao paulo_ribeirao grande_parque estadual intervales, estrada carmo trilha cacadinha","brazil_sao paulo_ribeirao grande_parque estadual intervales",150
"brazil_sao paulo_campinas_area relevante interesse ecologico","",149
"brazil_sao paulo_itirapina_cerrado valerio","",149
"brazil_sao paulo_tapirai_trilha entre a uhe alecrim e uhe porto raso","",149
"brazil_sao paulo_municipio cananeia","",145
"brazil_sao paulo_ribeirao grande_com inicio na estrada carmo, parque estadual intervales","",145
"brazil_sao paulo_cunha_nucleo cunha","",144
"brazil_sao paulo_ilha comprida_pedrinhas","",144
"brazil_sao paulo_bananal_estacao ecologica","",143
"brazil_sao paulo_cunha_reserva florestal","",143
"brazil_sao paulo_monte alegre sul_estacao experimental","",142
"brazil_sao paulo_botucatu_bairro demetria","",140
"brazil_sao paulo_campos jordao_estrada areal","",140
"brazil_sao paulo_caraguatatuba_nucleo caraguatatuba","",140
"brazil_sao paulo_ibiuna_lacerda","",140
"brazil_sao paulo_represa broa","",140
"brazil_sao paulo_taquaras_gruta aguas virtuosas","",140
"brazil_sao paulo_sao paulo_parque estado, on old maps """"parque agua funda""""","brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo)",140
"brazil_sao paulo_itirapina_represa broa","",139
"brazil_sao paulo_ibiuna_beto jamil","",138
"brazil_sao paulo_joanopolis_estrada para bairro azevedo","",138
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi trilha base","",138
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, base mirante estrada para dae base","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",138
"brazil_sao paulo_bauru_campus unesp","",137
"brazil_sao paulo_ibiuna_dito andre","",137
"brazil_sao paulo_picinguaba","",136
"brazil_sao paulo_areias_fazenda sao domingos, acesso pelo km 237 rodovia tropeiros","brazil_sao paulo_areias_fazenda sao domingos",136
"brazil_sao paulo_monte alegre sul_e","",135
"brazil_sao paulo_mogi cruzes_cesar souza","",134
"brazil_sao paulo_campinas_mata capoeira grande","",133
"brazil_sao paulo_miracatu_fazenda iterei","",133
"brazil_sao paulo_miracatu_serra paranapiacaba, fazenda iterei","",132
"brazil_sao paulo_parque ecologico tiete","",132
"brazil_sao paulo_iporanga_serra paranapiacaba","",131
"brazil_sao paulo_itirapina_campo alegre","",131
"brazil_sao paulo_itirapina_estacao experimental instituto florestal","",131
"brazil_sao paulo_pardinho_fazenda aguas janeiro","",131
"brazil_sao paulo_ibiuna_godoy","",130
"brazil_sao paulo_nazare paulista_estrada terra para piracaia","",130
"brazil_sao paulo_juquia_reserva particular votorantim","",129
"brazil_sao paulo_atibaia_parque municipal grota funda","",128
"brazil_sao paulo_bertioga_trilha sesc","",128
"brazil_sao paulo_miracatu_serra paranapiacaba","",128
"brazil_sao paulo_peruibe_guarau","",128
"brazil_sao paulo_tapirai_reserva particulrar votorantim","",128
"brazil_sao paulo_timburi_fazenda domiciana","",128
"brazil_sao paulo_bauru_horto fepasa","",127
"brazil_sao paulo_capao bonito_parque estadual nascentes paranapanema","",127
"brazil_sao paulo_corumbatai_rodovia washington luis","",127
"brazil_sao paulo_cunha_estrada para pedra macela","",127
"brazil_sao paulo_mogi guacu_estacao ecologica mogi guacu","",127
"brazil_sao paulo_bauru_fazenda rio verde","",126
"brazil_sao paulo_tapirai_uhe serraria","",126
"brazil_sao paulo_bela vista","",124
"brazil_sao paulo_bela vista_bela vista","",124
"brazil_sao paulo_sete barras_parque estadual intervales base saibadela","",124
"brazil_sao paulo_ibiuna_parque estadual jurupara","",123
"brazil_sao paulo_ibiuna_takimoto","",123
"brazil_sao paulo_jundiai_estacao experimental jundiai","",122
"brazil_sao paulo_campos jordao_estrada para sao jose alpes","",121
"brazil_sao paulo_ibiuna_agostinho","",120
"brazil_sao paulo_santo antonio pinhal_sitio matao","",120
"brazil_sao paulo_cubatao_parque ecologico pereque","",119
"brazil_sao paulo_sao paulo_parque nacional serra mar nucleode curucutu","",118
"brazil_sao paulo_ubatuba_trilha casa farinha","",118
"brazil_sao paulo_campos jordao_parque ferradura","",117
"brazil_sao paulo_iguape_estacao ecologica chauas, no km 78 rodovia pariquera iguape","",117
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, estrada cascalheira","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",117
"brazil_sao paulo_campos jordao_divisa com pindamonhangaba","",116
"brazil_sao paulo_sao pedro_rodovia sp 191","",116
"brazil_sao paulo_ibiuna_nelson","",115
"brazil_sao paulo_ilha vitoria","",115
"brazil_sao paulo_reserva biologica serra japi","",115
"brazil_sao paulo_itirapina_rodovia municipal airton senna","",114
"brazil_sao paulo_piquete_pico marins","",114
"brazil_sao paulo_iguape_estacao ecologica jureia itatins, mata alta bem preservada","brazil_sao paulo_iguape_eec jureia itatins",114
"brazil_sao paulo_campinas_fragmento 2","",113
"brazil_sao paulo_parque estadual intervales_parque estadual intervales","",113
"brazil_sao paulo_campinas_fazenda sant#?#ana","",112
"brazil_sao paulo_guapiara_parque estadual intervales, com trechos mais preservados sobre rochas carsticas","",112
"brazil_sao paulo_rio claro_rio claro","",112
"brazil_sao paulo_paraibuna_parque estadual serra mar","",111
"brazil_sao paulo_campos jordao_horto municipal","",110
"brazil_sao paulo_hwy","",110
"brazil_sao paulo_iguape_iguape","",110
"brazil_sao paulo_ilha vitoria_ilha vitoria","",110
"brazil_sao paulo_res","",110
"brazil_sao paulo_ubatuba_centro biologia marinha usp","",110
"brazil_sao paulo_2","",109
"brazil_sao paulo_bertioga_bertioga","",109
"brazil_sao paulo_campinas_mata fazenda santa helena","",109
"brazil_sao paulo_ilha comprida_estrada acesso a praia","",109
"brazil_sao paulo_jundiai_jundiai","",109
"brazil_sao paulo_sao carlos_arredores represa broa","",109
"brazil_sao paulo_mato dentro","",108
"brazil_sao paulo_mogi cruzes_parque neblinas","",108
"brazil_sao paulo_parque estadual jacupiranga","",108
"brazil_sao paulo_sao luis paraitinga_nucleo santa virginia","",108
"brazil_sao paulo_jundiai_serra japi, na estrada para a torre tv cultura","brazil_sao paulo_jundiai_serra japi",108
"brazil_sao paulo_itatiba_mata fazenda malabar","",107
"brazil_sao paulo_ribeirao grande_parque estadual intervales, estrada para barra grande","brazil_sao paulo_ribeirao grande_parque estadual intervales",107
"brazil_sao paulo_ibitinga_fazenda santo antonio","",106
"brazil_sao paulo_parque ecologico tiete_parque ecologico tiete","",106
"brazil_sao paulo_parque estadual jacupiranga_parque estadual jacupiranga","",106
"brazil_sao paulo_jundiai_estacao experimental","",105
"brazil_sao paulo_botucatu_fazenda mac e 4 meninas","",104
"brazil_sao paulo_cananeia_nucleo cananeia","",104
"brazil_sao paulo_galia_estado ecol","",104
"brazil_sao paulo_itirapina_reserva instituto florestal","",104
"brazil_sao paulo_pedreira_fazenda bela vista","",104
"brazil_sao paulo_cunha_estrada em direcao a trilha rio bonito","",103
"brazil_sao paulo_res_res","",103
"brazil_sao paulo_sete barras_parque intervales base saibadela","",103
"brazil_sao paulo_campos jordao_vila matilde","",102
"brazil_sao paulo_cananeia_estrada pariquera acu","",102
"brazil_sao paulo_distrito parelheiros","",102
"brazil_sao paulo_sao paulo_instituto agronomico e geofisico","",102
"brazil_sao paulo_km","",101
"brazil_sao paulo_mogi cruzes_serra itapeti, parque natural municipal afonso mello chiquinho verissimo","",101
"brazil_sao paulo_parque estado sao paulo","",101
"brazil_sao paulo_parque estado sao paulo_parque estado sao paulo","",101
"brazil_sao paulo_brotas_margem represa broa","",100
"brazil_sao paulo_itapeva_estacao experimental itapeva","",100
"brazil_sao paulo_sao jose campos_sao jose campos","",100
"brazil_sao paulo_reserva instituto florestal","",99
"brazil_sao paulo_ubatuba_coletas realizadas ao longo trilha corisco","",99
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, base mirante estrada para dae cachoeira jabuticabas base","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",99
"brazil_sao paulo_ribeirao grande_parque estadual intervales, trilha cacadinha com inicio na estrada carmo","brazil_sao paulo_ribeirao grande_parque estadual intervales",99
"brazil_sao paulo_cubatao_ibb","",98
"brazil_sao paulo_itirapina_pedagio broa","",98
"brazil_sao paulo_jundiai_parque cerrado","",98
"brazil_sao paulo_bofete_fazenda quilombaria","",97
"brazil_sao paulo_curso taxonomia campo usp","",97
"brazil_sao paulo_itirapina_estacao experimental","",97
"brazil_sao paulo_monte alegre sul_fazenda benati","",97
"brazil_sao paulo_atibaia_pico pedra grande","",96
"brazil_sao paulo_guaruja_praia tombo","",96
"brazil_sao paulo_ibiuna_lila","",96
"brazil_sao paulo_itirapina_estrada uba","",96
"brazil_sao paulo_ubatuba_em uma parcela um hectare","",96
"brazil_sao paulo_barra turvo_parque estadualjacupiranga","",95
"brazil_sao paulo_capital","",95
"brazil_sao paulo_parque rawitscher","",95
"brazil_sao paulo_botucatu_fazenda edgardia","",94
"brazil_sao paulo_cabreuva_mata casa branca","",94
"brazil_sao paulo_dos caetetus","",94
"brazil_sao paulo_itabera_reserva ecologica itabera","",94
"brazil_sao paulo_joanopolis_cachoeira pretos","",94
"brazil_sao paulo_parque estadual caraguatatuba","",94
"brazil_sao paulo_piratininga_sitio lagoa azul","",94
"brazil_sao paulo_tapirai_cachoeira cha","",94
"brazil_sao paulo_cabreuva_serra japi","",93
"brazil_sao paulo_itirapina_proximo ao pedagio","",93
"brazil_sao paulo_miracatu_reserva particular votorantim","",93
"brazil_sao paulo_peruibe_estacao ecologica jureia guarau","",93
"brazil_sao paulo_analandia_serra cuzcuzeiro","",92
"brazil_sao paulo_campos jordao_colonia ferias mackenzie","",92
"brazil_sao paulo_guaruja_guaruja","",92
"brazil_sao paulo_ibiuna_zezinho","",92
"brazil_sao paulo_sao paulo_parque estadual","",92
"brazil_sao paulo_cananeia_km 31 rodovia sp 226, estrada terra para o mar dentro","",91
"brazil_sao paulo_estrada pariquera acu","",91
"brazil_sao paulo_itirapina_rodovia washington luis","",91
"brazil_sao paulo_mogi cruzes_distrito cesar souza prox","",91
"brazil_sao paulo_ribeirao grande_parque estadual intervales, trilha cachoeira pedrinhas com inicio na estrada sao pedro","brazil_sao paulo_ribeirao grande_parque estadual intervales",91
"brazil_sao paulo_botucatu_18 km north of botucatu","",90
"brazil_sao paulo_campos jordao_serra mantiqueira","",90
"brazil_sao paulo_joanopolis_rodovia para montes verdes","",90
"brazil_sao paulo_praia barra una","",90
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, base mirante estrada para dae","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",90
"brazil_sao paulo_avai_rio batalha","",89
"brazil_sao paulo_botucatu_demetria","",89
"brazil_sao paulo_fazenda guarda","",89
"brazil_sao paulo_iporanga_iporanga","",89
"brazil_sao paulo_itirapina_trevo itirapina","",89
"brazil_sao paulo_santa rita passa quatro_mata capetinga oeste","",89
"brazil_sao paulo_sao bento sapucai_morro bau","",89
"brazil_sao paulo_sao francisco xavier","",89
"brazil_sao paulo_sao paulo_distrito parelheiros","",89
"brazil_sao paulo_analandia_parque rawitscher, fazenda pedra vermelha","",88
"brazil_sao paulo_fazenda ituau","",88
"brazil_sao paulo_guarulhos_cabucu","",88
"brazil_sao paulo_ibiuna_pedroso","",88
"brazil_sao paulo_nucleo picinguaba","",88
"brazil_sao paulo_salto_fazenda ituau, estrada velha salto capivari","",88
"brazil_sao paulo_sao jose campos_centro tecnico aeronautica","",88
"brazil_sao paulo_serra bocaina","",88
"brazil_sao paulo_ubatuba_polo regional desenvolvimento tecnologico agronegocios ubatuba","",88
"brazil_sao paulo_cananeia_ilha comprida estrada entre a balsa e a praia ilha comprida","",87
"brazil_sao paulo_corumbatai_mata unesp","",87
"brazil_sao paulo_guaruja_praia pernambuco","",87
"brazil_sao paulo_c","",86
"brazil_sao paulo_sao pedro_serra sao pedro","",86
"brazil_sao paulo_sete barras_estrada entre sete barras e sao miguel arcanjo","",85
"brazil_sao paulo_atibaia_atibaia","",84
"brazil_sao paulo_botucatu_18","",84
"brazil_sao paulo_ibiuna_dito","",84
"brazil_sao paulo_juquia_10 km juquia em direcao a tapirai","",84
"brazil_sao paulo_santa rita passa quatro_individuos coletados para identificacao no laboratorio","",84
"brazil_sao paulo_ubatuba_trilha vargem grande","",84
"brazil_sao paulo_campos jordao_fazenda guarda, reserva florestal","",83
"brazil_sao paulo_campos jordao_horto florestal campos jordao","",83
"brazil_sao paulo_capao bonito_parque estadual intervales","",83
"brazil_sao paulo_ibiuna_alcides","",83
"brazil_sao paulo_ibiuna_bairro morro grande","",83
"brazil_sao paulo_mairipora_represa paiva castro","",83
"brazil_sao paulo_av_jardim marilda","",82
"brazil_sao paulo_estrada farol","",82
"brazil_sao paulo_ilha anchieta","",82
"brazil_sao paulo_nativa no jardim botanico","",82
"brazil_sao paulo_santa isabel_igarata","",82
"brazil_sao paulo_sao bento sapucai_trilha para pedra bau","",82
"brazil_sao paulo_capela socorro","",81
"brazil_sao paulo_capela socorro_capela socorro","",81
"brazil_sao paulo_ibiuna_reizinho","",81
"brazil_sao paulo_ilha bela","",81
"brazil_sao paulo_salesopolis_salesopolis","",81
"brazil_sao paulo_tapirai_proximos a estradas antigas","",81
"brazil_sao paulo_pariquera acu_estrada pariquera cananeia","",80
"brazil_sao paulo_ubatuba_estrada para a casa farinha","",80
"brazil_sao paulo_itirapina_cerrado grauna","",79
"brazil_sao paulo_monteiro lobato_estrada panorama ao rio peixe","",79
"brazil_sao paulo_santo andre_santo andre","",79
"brazil_sao paulo_uhe barra","",79
"brazil_sao paulo_analandia_cachoeira escorrega","",78
"brazil_sao paulo_corumbatai_reserva cerrado","",78
"brazil_sao paulo_ibiuna_carmo messias","",78
"brazil_sao paulo_iporanga_serra paranapiacaba, fazenda intervales, along road to iporanga","",78
"brazil_sao paulo_itirapina_estacao ecologica","",78
"brazil_sao paulo_5 km rodovia washington luiz","",77
"brazil_sao paulo_campos jordao_bairro umuarama","",77
"brazil_sao paulo_eldorado_cachoeira sapatu","",77
"brazil_sao paulo_eldorado_parque estadual caverna diabo","",77
"brazil_sao paulo_ibiuna_parque estadualjurupara","",77
"brazil_sao paulo_pedreira_pedreira","",77
"brazil_sao paulo_sao paulo_parque estadualcantareira","",77
"brazil_sao paulo_sao paulo_parque estadualjaragua","",77
"brazil_sao paulo_braganca paulista_mata padres","",76
"brazil_sao paulo_campinas_mata fazenda capoeira grande","",76
"brazil_sao paulo_itirapina_pedregulho","",76
"brazil_sao paulo_ribeirao grande_ribeirao grande","",76
"brazil_sao paulo_atibaia_grota funda","",75
"brazil_sao paulo_iguape_ilha comprida","",75
"brazil_sao paulo_iguape_subauma","",75
"brazil_sao paulo_tapirai_trilha chagas","",75
"brazil_sao paulo_br","",74
"brazil_sao paulo_cachoeira paulista_cachoeirao bocaina","",74
"brazil_sao paulo_campinas_sub distrito sousas","",74
"brazil_sao paulo_cananeia_km 31 rodovia sp 226, fazenda folha larga","",74
"brazil_sao paulo_iiha comprida_pedrinhas","",74
"brazil_sao paulo_sao jose campos_reserva florestal prof","",74
"brazil_sao paulo_sao paulo_bairro cachoeira","",74
"brazil_sao paulo_iguape_estacao ecologica jureia itatins, mata encosta bem preservada","brazil_sao paulo_iguape_eec jureia itatins",74
"brazil_sao paulo_estrada municipal mingu 1700 km 83","",73
"brazil_sao paulo_estrada municipal mingu 1700 km 83_estrada municipal mingu 1700 km 83","",73
"brazil_sao paulo_ibiuna_km 86 a esquerda sp 125 em direcao a sao paulo","",73
"brazil_sao paulo_ibiuna_tereza","",73
"brazil_sao paulo_itirapina_propriedade particular borda leste","",73
"brazil_sao paulo_municipio itirapina","",73
"brazil_sao paulo_sao bento sapucai_sao bento sapucai","",73
"brazil_sao paulo_sao paulo_sitio a esquerda na estrada engº marsilac","",73
"brazil_sao paulo_tapirai_reserva votorantim","",73
"brazil_sao paulo_campos jordao_caminho para sao jose alpes","",72
"brazil_sao paulo_campos jordao_regiao cedro vermelho","",72
"brazil_sao paulo_forte andradas","",72
"brazil_sao paulo_joanopolis_estrada para a cachoeira pretos","",72
"brazil_sao paulo_juquia_sitio areia dourada","",72
"brazil_sao paulo_parelheiros_camping ana paula","",72
"brazil_sao paulo_sitio barrocada","",72
"brazil_sao paulo_sitio barrocada_sitio barrocada","",72
"brazil_sao paulo_japui","",71
"brazil_sao paulo_japui_japui","",71
"brazil_sao paulo_juquitiba_recanto paz","",71
"brazil_sao paulo_campinas_mata fazenda santana atalaia","",70
"brazil_sao paulo_campos jordao_proximo a represa fojo","",70
"brazil_sao paulo_guaratingueta_fazenda esperanca","",70
"brazil_sao paulo_ilha anchieta_ilha anchieta","",70
"brazil_sao paulo_santo andre_reserva biologica alto serra paranapiacaba","",70
"brazil_sao paulo_bairro sorcabucu","",69
"brazil_sao paulo_cananeia_reserva biologica ilha cardoso","",69
"brazil_sao paulo_ibiuna_mais ou menos 8km estrada sp 250 no km 63","",69
"brazil_sao paulo_itirapina_estacao ecologica e experimental itirapina","",69
"brazil_sao paulo_munic","",69
"brazil_sao paulo_santo andre_parque natural municipal nascentes paranapiacaba","",69
"brazil_sao paulo_sao carlos_represa lobo","",69
"brazil_sao paulo_botucatu_jardim botanico ibb","",68
"brazil_sao paulo_campos jordao_pecj","",68
"brazil_sao paulo_embu guacu_parque varzea embu guacu","",68
"brazil_sao paulo_ibiuna_maria","",68
"brazil_sao paulo_itirapina_cerrado estrela","",68
"brazil_sao paulo_itirapina_fazenda sao jose conquista","",68
"brazil_sao paulo_itirapina_propriedade particular","",68
