"","loc","loc.correct","source","Freq","alreadyInGazet","ordemGazet","statusInGazet","country","stateProvince","municipality","locality","meanLatitude","meanLongitude"
"45630","brazil_sao paulo_parque estado_parque estado","","gbif_splink",769,FALSE,NA,NA,"Brazil","São Paulo","","parque do estado sao paulo - sp brasil ( 270 ) | parque do estado ( 176 ) | parque do estado sao paulo - sp 04301-902 brasil ( 41 ) | parque do estado sao paulo ( 38 ) | parque do estado s paulo ( 33 ) | parque do estado sao paulo - state of sao paulo brazil ( 30 )",-23.2512909888166,-47.2208651951886
"64405","brazil_sao paulo_serra bocaina_serra bocaina","","gbif_reflora_splink",733,FALSE,NA,NA,"Brazil","São Paulo","serra da bocaina ( 2 )","serra da bocaina ( 513 ) | serra do bocaina ( 14 ) | serra da bocaina sao jose do barreiro ( 7 ) | serra de bocaina ( 7 ) | serra da bocaina in evergreen forest ( 6 ) | serra da bocaina tira chapeu ( 6 )",-22.4059505218281,-47.9239791806276
"25065","brazil_sao paulo_distrito rubiao junior","","gbif_splink",725,FALSE,NA,NA,"Brazil","São Paulo","Botucatu ( 716 ) | São Paulo ( 1 )","distrito de rubiao junior unesp ib - jardim botanico ( 482 ) | distrito de rubiao junior 5km sw da faculdade de ciencias medicas e biologicas de botucatu ( 18 ) | distrito de rubiao junior 5 km sw da faculdade de ciencias medicas e biologicas de botucatu ( 11 ) | distrito de rubiao junior fazenda butignoli ( 9 ) | distrito de rubiao junior 1-2 km sw da faculdade de ciencias medicas e biologicas de botucatu ( 8 ) | distrito de rubiao junior fazenda do sr a butignolli ( 8 )",-22.8648424571448,-48.3691501373379
"21543","brazil_sao paulo_caraguatatuba_parque estadual serra mar nucleo caraguatatuba","","gbif_reflora_splink",690,FALSE,NA,NA,"Brazil","São Paulo","Caraguatatuba","parque estadual da serra do mar nucleo caraguatatuba trilha dos tropeiros ( 100 ) | parque estadual da serra do mar nucleo caraguatatuba trilha da mococa ( 65 ) | parque estadual da serra do mar nucleo caraguatatuba trilha do jequitiba ( 56 ) | parque estadual da serra do mar nucleo caraguatatuba trilha dos macacos ( 53 ) | parque estadual da serra do mar nucleo caraguatatuba trilha do pocao ( 46 ) | parque estadual da serra do mar nucleo caraguatatuba trilha da captacao ( 45 )",-23.6893227483043,-45.5318600091159
"30584","brazil_sao paulo_iac","","gbif_jabot_splink",681,FALSE,NA,NA,"Brazil","São Paulo","Campinas ( 650 ) | Monte Alegre do Sul ( 15 ) | Pariquera-Açu ( 6 ) | Ubatuba ( 6 ) | Brotas ( 2 ) | Mococa ( 1 )","iac av barao de itapura parque ( 403 ) | iac fazenda sta eliza monjolinho ( 14 ) | iac faz sta elisa em cultivo ( 12 ) | iac av barao de itapura parque a pleno sol ( 10 ) | iac av barao de itapura parque residencia do diretor ( 10 ) | iac estacao experimental area nativa fragmento a direita da rodovia para pinhalzinho proximo ao riacho ( 8 )",-23.0066731595448,-47.0627760504699
"29576","brazil_sao paulo_franco rocha_parque estadualjuqueri","","gbif_splink",678,FALSE,NA,NA,"Brazil","São Paulo","Franco da Rocha","pejuqueri ( 669 ) | pejuqueri morro do pato ( 2 ) | pejuqueri morro grande ( 2 ) | pejuqueri morro ovo de pato ( 2 ) | pejuqueri regiao da ossada ( 2 ) | pejuqueri regiao da ossada campo cerrado ( 1 )",-23.3201806784661,-46.7209871460177
"54644","brazil_sao paulo_santa rita passa quatro_arie","","gbif_splink",671,FALSE,NA,NA,"Brazil","São Paulo","Santa Rita do Passa Quatro","arie - cerrado pe-de-gigante area demarcada ( 275 ) | arie - cerrado pe-de-gigante ( 115 ) | arie - cerrado pe de gigante area demarcada ( 73 ) | arie - cerrado pe de gigante ( 41 ) | arie - cerrado pe-de-gigante margem em direcao a via anhanguera ( 33 ) | arie - cerrado pe de gigante margem em direcao a via anhanguera ( 22 )",-21.652223107839,-47.568702136155
"13612","brazil_sao paulo_bertioga_parque estadual restinga bertioga","","gbif_splink",652,FALSE,NA,NA,"Brazil","São Paulo","Bertioga","parque estadual restinga de bertioga rio itapanhau ( 54 ) | parque estadual restinga de bertioga rio itapanhau transecto tr1 ( 44 ) | parque estadual restinga de bertioga rio itapanhau transecto tr6 ( 40 ) | parque estadual restinga de bertioga rio itapanhau transecto tr3 ( 29 ) | parque estadual restinga de bertioga rio itapanhau transecto tr7 ( 25 ) | parque estadual restinga de bertioga rio itapanhau transecto tr2 ( 22 )",-23.7907948762117,-46.105415898635
"17765","brazil_sao paulo_campinas_campus unicamp","","gbif_reflora_splink",632,FALSE,NA,NA,"Brazil","São Paulo","Campinas","campus da unicamp ( 57 ) | barao geraldo campus da unicamp entorno do instituto de biologia ( 36 ) | campus unicamp ( 27 ) | campus unicamp feagri ( 10 ) | campus unicamp praca da paz ( 10 ) | barao geraldo campus da unicamp entorno do instituto de biologia gramado do ib proximo ao laguinho do ib ( 7 )",-22.8872385947785,-47.0451666210443
"71494","brazil_sao paulo_sao paulo_parque estadual fontes ipiranga, reserva biologica","brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo)","gbif_splink",608,FALSE,NA,NA,"Brazil","São Paulo","São Paulo","parque estadual das fontes do ipiranga reserva biologica ( 462 ) | parque estadual das fontes do ipiranga reserva biologica mata ( 7 ) | parque estadual das fontes do ipiranga reserva biologica instituto astronomico e geofisico coleta feita no lago limitrofe entre as areas 11 e 17 ( 6 ) | parque estadual das fontes do ipiranga reserva biologica mata da vila facchini ( 5 ) | parque estadual das fontes do ipiranga reserva biologica mata do instituto geologico ( 5 ) | parque estadual das fontes do ipiranga reserva biologica parque estadual das fontes do ipiranga ( 5 )",-23.643813942352,-46.6472955936184
"34403","brazil_sao paulo_itarare_estrada itarare","","gbif_splink",599,FALSE,NA,NA,"Brazil","São Paulo","Itararé","estrada itarare - itapeva proximo a ponte do rio verde ( 125 ) | estrada itarare - itapeva proximo a ponte do rio verde cerrado ( 46 ) | estrada itarare - itapeva proximo a ponte do rio verde area de brejo com transicao para cerrado nos pontos mais altos ( 37 ) | estrada itarare - itapeva proximo a ponte do rio verde campo natural na beira do rio verde ( 35 ) | estrada itarare - bonsucesso ( 33 ) | estrada itarare - itapeva proximo a ponte do rio verde area de cerrado adjacente a banhado ( 28 )",-24.0976491497335,-49.2814510732431
"16267","brazil_sao paulo_brasil_brasil","","gbif_splink",597,FALSE,NA,NA,"Brazil","São Paulo","","brasil estado de sao paulo campinas sub-distrito de souzas mata ribeirao cachoeira ( 105 ) | brasil sao paulo iguape barra do ribeira ( 18 ) | brasil estado de sao paulo campinas ( 11 ) | brasil estado de sao paulo ( 10 ) | brasil estado de sao paulo santos ( 9 ) | brasil estado de sao paulo sao jose dos campos ( 9 )",-22.5665970706868,-48.0310006924623
"27164","brazil_sao paulo_estrada itarare","","gbif_reflora_splink",573,FALSE,NA,NA,"Brazil","São Paulo","Itararé ( 542 ) | Bom Sucesso de Itararé ( 24 ) | itarare - bonsucesso ( 2 )","estrada de itarare - bom sucesso proximo a entrada da fazenda sao nicolau ( 75 ) | estrada itarare - bom sucesso de itarare fazenda ibiti (ripasa) ( 46 ) | estrada itarare - bonsucesso fazenda santa maria do espinho ( 40 ) | estrada itarare - bonsucesso fazenda ibiti (ripasa) ( 30 ) | estrada itarare - bom sucesso de itarare ca 17 km de itarare fazenda ibiti (ripasa) ( 24 ) | estrada itarare - bonsucesso proximo a entrada da fazenda sao nicolau ( 21 )",-24.125931189128,-49.2939939250656
"33284","brazil_sao paulo_itanhaem_parque estadual serra mar nucleo curucutu","","gbif_splink",566,FALSE,NA,NA,"Brazil","São Paulo","Itanhaém","parque estadual da serra do mar nucleo curucutu ( 180 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana e montana no entorno do vale dos rios mambu e dos macacos ( 91 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana no entorno do vale do rio mambu ( 51 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana e montana no entorno do vale dos rios mambu e dos macacos 24o02'284""s; 46o49'279""w 30-180msm ( 35 ) | parque estadual da serra do mar nucleo curucutu floresta ombrofila densa baixomontana no entorno do vale do rio mambu 24o02'517""s; 46o49'057""w 30-100msm ( 21 ) | parque estadual da serra do mar nucleo curucutu trilha do mambu ( 20 )",-24.0173492130565,-46.8211739840989
"15581","brazil_sao paulo_botucatu_jardim botanico","","gbif_splink",565,FALSE,NA,NA,"Brazil","São Paulo","Botucatu","distrito de rubiao junior unesp ib - jardim botanico ( 482 ) | jardim botanico departamento de botanica  ibb - unesp ( 27 ) | jardim botanico ( 14 ) | jardim botanico unesp - distrito de rubiao junior ( 13 ) | jardim botanico (unesp botucatu) ( 6 ) | jardim botanico (unesp/botucatu) ( 6 )",-22.8702913223894,-48.3432859917699
"9021","brazil_sao paulo_a margem rodovia municipal","","gbif_splink",540,FALSE,NA,NA,"Brazil","São Paulo","Botucatu","a margem da rodovia municipal (estrada do roberto) que liga vitoriana ao rio bonito campo e nautica a mais ou menos 5 km de vitoriana fazenda gold farm ( 141 ) | a margem da rodovia municipal (estrada do roberto) que liga vitoriana ao rio bonito campo e nautica mais ou menos 5 km de vitoriana fazenda gold farm ( 84 ) | a margem da rodovia municipal (estrada d ( 29 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5 km de victoriana fazenda gold farm ( 27 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5 km de vitoriana fazenda gold farm ( 20 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5km de vitoriana fazenda gold farm ( 13 )",-22.7632182016852,-48.2722002140556
"30059","brazil_sao paulo_guaratuba","","gbif_reflora_splink",515,FALSE,NA,NA,"Brazil","São Paulo","Bertioga ( 502 ) | guaratuba ( 13 )","guaratuba fazenda tres marias estrada da captacao ( 407 ) | guaratuba fazenda tres marias estrada de captacao ( 31 ) | guaratuba fazenda tres marias ( 23 ) | serra de aracatuba ( 6 ) | guaratuba faz tres marias estrada da captacao ( 4 ) | guaratuba fazenda tres irmaos estrada da captacao ( 4 )",-23.7249627503107,-46.1003101265825
"36602","brazil_sao paulo_jardim botanico_jardim botanico","","gbif_reflora_splink",500,FALSE,NA,NA,"Brazil","São Paulo","","jardim botanico ( 346 ) | jardim botanico s paulo ( 50 ) | jardim botanico sao paulo ( 23 ) | jardim botanico spaulo ( 10 ) | jardim botanico (189 nativa) ( 4 ) | jardim botanico cabeceira do corrego simao ( 4 )",-23.0794999548,-47.4795079896
"32942","brazil_sao paulo_iporanga/apiai_parque estadual turistico alto ribeira","","gbif_reflora",496,FALSE,NA,NA,"Brazil","São Paulo","iporanga/apiai","parque estadual turistico do alto ribeira (petar) nucleo santana floresta ombrofila densa ( 174 ) | parque estadual turistico do alto ribeira (petar) nucleo santana ( 56 ) | parque estadual turistico do alto ribeira (petar) nucleo ouro grosso floresta ombrofila densa ( 49 ) | parque estadual turistico do alto ribeira (petar) nucleo caboclos - floresta ombrofila densa ( 40 ) | parque estadual turistico do alto ribeira (petar) ( 38 ) | parque estadual turistico do alto ribeira (petar) nucleo casa de pedra floresta ombrofila densa ( 25 )",-23.8254265521953,-48.7072054386201
"44012","brazil_sao paulo_nucleo itutinga piloes","","gbif_jabot",493,FALSE,NA,NA,"Brazil","São Paulo","Cubatão ( 241 ) | São Bernardo do Campo ( 100 ) | Praia Grande ( 97 ) | Santos ( 33 ) | São Vicente ( 22 )","nucleo itutinga-piloes parque estadual da serra do mar ( 203 ) | nucleo itutinga-piloes mata proxima a estrada de manutencao parque estadual da serra do mar ( 77 ) | nucleo itutinga-piloes trilha da ferradura parque estadual da serra do mar ( 76 ) | nucleo itutinga-piloes trilha escondida proximo a vila de paranapiacaba vale do rio quilombo parque estadual da serra do mar ( 33 ) | nucleo itutinga-piloes caminhos do mar calcada do lorena setor a parque estadual da serra do mar ( 30 ) | nucleo itutinga-piloes mata entre trem e sitio da maninha parque estadual da serra do mar ( 22 )",-23.8961674649087,-45.9339715533469
"43457","brazil_sao paulo_nazare paulista_estrada em torno represa atibainha","","gbif_reflora_splink",487,FALSE,NA,NA,"Brazil","São Paulo","Nazaré Paulista","estrada em torno da represa atibainha ( 257 ) | estrada em torno da represa atibainha mata mesofila semidecidua ( 154 ) | estrada em torno da represa atibainha 23*08'334""s 46*21'284""w 800 msm mata mesofila semidecidua ( 21 ) | estrada em torno da represa atibainha 23*08'334's 46*21'284'w 800 msm mata mesofila semidecidua ( 10 ) | estrada em torno da represa atibainha mata mesofila semidescidua ( 8 ) | estrada em torno da represa atibainha 23*08'33 4""s 46*21'28 4""w 800 msm mata mesofila semidecidua ( 6 )",-23.1584688781314,-46.3604889215149
"64564","brazil_sao paulo_serra cantareira_serra cantareira","","gbif_reflora_splink",483,FALSE,NA,NA,"Brazil","São Paulo","serra da cantareira ( 3 )","serra da cantareira ( 373 ) | serra da cantareira pinheirinho ( 14 ) | serra de cantareira ( 10 ) | serra da cantareira mata do horto florestal ( 6 ) | serra do cantareira ( 6 ) | serra da cantareira - pinheirinho ( 4 )",-22.4217562509317,-48.4710871830228
"26236","brazil_sao paulo_estacao ecologica ribeirao preto","","gbif_splink",474,FALSE,NA,NA,"Brazil","São Paulo","Ribeirão Preto ( 472 )","estacao ecologica de ribeirao preto proximo a rodovia ( 39 ) | estacao ecologica de ribeirao preto estrada que leva a captacao de agua ( 26 ) | estacao ecologica de ribeirao preto estrada que separa a eerp da app ( 26 ) | estacao ecologica de ribeirao preto estrada atras do predio da administracao da mata ( 24 ) | estacao ecologica de ribeirao preto estrada que separa a estacao ecologica da app ( 21 ) | estacao ecologica de ribeirao preto estrada que divide a eerp e a app ( 20 )",-21.2160128020042,-47.8347161845992
"71723","brazil_sao paulo_ubatuba_fazenda capricornio, parque estadual serra mar nucleo picinguaba","brazil_sao paulo_ubatuba_fazenda capricornio","gbif_splink",471,FALSE,NA,NA,"Brazil","São Paulo","Ubatuba","fazenda capricornio parcela g (parque estadual da serra do mar nucleo picinguaba) ( 222 ) | fazenda capricornio parcela i (parque estadual da serra do mar nucleo picinguaba) ( 158 ) | fazenda capricornio (parque estadual da serra do mar nucleo picinguaba) ( 13 ) | fazenda capricornio parcela f (parque estadual da serra do mar nucleo picinguaba) ( 7 ) | fazenda capricornio casa da farinha (parque estadual da serra do mar nucleo picinguaba) ( 5 ) | fazenda capricornio parcela e (parque estadual da serra do mar nucleo picinguaba) ( 5 )",-23.3771862433546,-45.0089911723355
"62568","brazil_sao paulo_sao paulo_reserva biologica, parque estadual fontes ipiranga","","gbif_splink",470,FALSE,NA,NA,"Brazil","São Paulo","São Paulo","reserva biologica parque estadual das fontes do ipiranga ( 318 ) | sao paulo reserva biologica parque estadual das fontes do ipiranga ( 40 ) | reserva biologica parque estadual das fontes do ipiranga parque estadual das fontes do ipiranga ( 24 ) | sao paulo reserva biologica parque estadual das fontes do ipiranga instituto astronomico e geofisico da usp ( 9 ) | reserva biologica parque estadual das fontes do ipiranga instituto de botanica ( 6 ) | reserva biologica parque estadual das fontes do ipiranga instituto astronomico e geofisico da usp ( 5 )",-23.6233914058511,-46.6514780889362
"17055","brazil_sao paulo_c","","gbif_splink",469,FALSE,NA,NA,"Brazil","São Paulo","Mogi das Cruzes ( 455 ) | Araras ( 1 ) | Pariquera-Açu ( 1 ) | São José dos Campos ( 1 ) | Ubatuba ( 1 )","c de souza apa varzea estrada do afia faca ( 45 ) | c de souza apa varzea estrada do afia faca borda da mata ciliar (estrada) ( 33 ) | c de souza apa varzea estrada do afia faca varzea ( 20 ) | c de souza apa varzea estrada do afia faca borda da estrada ( 18 ) | c de souza apa varzea estrada do afia faca campo antropico solo seco ( 16 ) | c de souza apa varzea estrada do afia faca area de mata ombrofila ( 12 )",-23.4050152610448,-45.5999816914925
"13561","brazil_sao paulo_bertioga_fazenda tres marias, estrada captacao","","gbif_reflora_splink",467,FALSE,NA,NA,"Brazil","São Paulo","Bertioga","guaratuba fazenda tres marias estrada da captacao ( 400 ) | guaratuba fazenda tres marias estrada de captacao ( 31 ) | fazenda tres marias estrada da captacao ( 9 ) | guaratuba faz tres marias estrada da captacao ( 4 ) | guaratuba fazenda tres mariasestrada de captacao ( 3 ) | guratuba fazenda tres marias estrada de captacao ( 3 )",-23.761932479429,-46.0313971254247
"610","brazil_NA_aba ra","","reflora",462,FALSE,NA,NA,"Brazil","","aba ra ( 456 ) | mpio aba ra ( 1 )","mata do barbado ( 11 ) | pico do barbado ( 10 ) | encosta da serra do rei ( 9 ) | base da encosta da serra da tromba ( 8 ) | campos da serra do bicota ( 8 ) | mata do cigano ( 8 )",-13.1599989408874,-42.5235252024026
"47329","brazil_sao paulo_peruibe_estacao biologica jureia","","gbif_splink",462,FALSE,NA,NA,"Brazil","São Paulo","Peruíbe","estacao biologica de jureia ( 458 ) | estacao biologica da jureia ( 1 ) | estacao biologica da jureia praia do arpoador beira de afloramento rochoso ( 1 ) | estacao biologica jureia itatins ( 1 ) | proximo ao rio guilherme estacao biologica da jureia ( 1 )",-24.2660237724026,-46.8310338659091
"10418","brazil_sao paulo_analandia_serra cuscuzeiro","","gbif_splink",461,FALSE,NA,NA,"Brazil","São Paulo","Analândia","serra do cuscuzeiro ( 395 ) | serra do cuscuzeiro sitio agua limpa ( 6 ) | serra do cuscuzeiro serrote nova america ( 5 ) | serra do cuscuzeiro; sitio agua limpa ( 5 ) | serra do cuscuzeiro sitio bela vista ( 4 ) | serra do cuscuzeiro gruta n s de lourdes ( 3 )",-22.0820555425163,-47.6822079603037
"16604","brazil_sao paulo_bresil","","gbif_splink",455,FALSE,NA,NA,"Brazil","São Paulo","São Paulo ( 2 ) | Águas da Prata ( 1 ) | Apiaí ( 1 ) | Itirapina ( 1 ) | Limeira ( 1 ) | Penápolis ( 1 )","bresil province de saint-paul sao paulo sudeste brasil america do sul ( 67 ) | bresil province de san-paolo sao paulo sudeste brasil america do sul ( 33 ) | bresil sao paulo sudeste brasil america do sul ( 31 ) | bresil - province de saint-paul sao paulo sudeste brasil america do sul ( 25 ) | bresil: province de saint-paul sao paulo sudeste brasil america do sul ( 18 ) | bresil province de saint paul sao paulo sudeste brasil america do sul ( 12 )",-22.2791377477143,-48.6922425014506
"13118","brazil_sao paulo_bauru_campus unesp","","gbif_splink",453,FALSE,NA,NA,"Brazil","São Paulo","Bauru","campus da unesp ( 182 ) | campus da unesp trilha da educacao fisica ( 136 ) | campus da unesp departamento de educacao fisica ( 22 ) | campus da unesp trilha proxima ao departamento de matematica ( 20 ) | campus unesp ( 17 ) | campus da unesp gleba ii (plantio de mudas nativas) ( 10 )",-22.3048770679249,-49.0676367211416
"40153","brazil_sao paulo_mogi cruzes_a","","splink",452,FALSE,NA,NA,"Brazil","São Paulo","Mogi das Cruzes","apa da varzea do rio tiete ( 127 ) | apa da varzea do rio tiete proximo a industria cafe soluvel ( 17 ) | apa da varzea do rio tiete mata ciliar ( 15 ) | apa da varzea do rio tiete varzea local ensolarado com solo umido ( 11 ) | apa da varzea do rio tiete ambiente de varzea ( 10 ) | apa da varzea do rio tiete borda da mata local ensolarado com solo umido ( 7 )",-23.4298780840708,-45.7584340619469
"29842","brazil_sao paulo_guapiara_fazenda sao jeronimo","","gbif_jabot_splink",441,FALSE,NA,NA,"Brazil","São Paulo","Guapiara","fazenda sao jeronimo ( 429 ) | fazenda sao jeronimo relevo: ondulado vegetacao: floresta ombrofila densa montana ( 8 ) | fazenda sao jeronimo proximo a lagoa relevo: ondulado vegetacao: floresta ombrofila densa montana ( 1 ) | fazenda sao jeronimo relevo: ondulado vegetacao: floresta estacional semidecidual submontana ( 1 ) | fazenda sao jeronimo relevo: ondulado vegetacao: floresta ombrofila densa montana orla da floresta ( 1 ) | fazenda sao jeronimo revelo: ondulado vegetacao: floresta ombrofila densa montana ( 1 )",-24.3053565603175,-48.5204938344671
"14777","brazil_sao paulo_botucatu_a margem rodovia municipal, estrada roberto, fazenda gold farm","","gbif_splink",427,FALSE,NA,NA,"Brazil","São Paulo","Botucatu","a margem da rodovia municipal (estrada do roberto) que liga vitoriana ao rio bonito campo e nautica a mais ou menos 5 km de vitoriana fazenda gold farm ( 141 ) | a margem da rodovia municipal (estrada do roberto) que liga vitoriana ao rio bonito campo e nautica mais ou menos 5 km de vitoriana fazenda gold farm ( 84 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5 km de victoriana fazenda gold farm ( 26 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5 km de vitoriana fazenda gold farm ( 19 ) | a margem da rodovia municipal (estrada do roberto) que liga vitoriana ao rio bonito campo e nautica a mais ou menos 5km de vitoriana fazenda gold farm ( 13 ) | a margem da rodovia municipal (estrada do roberto) que liga victoriana ao rio bonito campo e nautica a mais ou menos 5km de vitoriana fazenda gold farm ( 12 )",-22.8025339826464,-48.2617277454567
