Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
PMSP,PMSP00000590,PMSP,,,Species,FABACEAE Cyclolobium brasiliense Benth.,,Fabaceae,Cyclolobium,brasiliense,,Benth.,R.S. Rodrigues,--/--/2003,no,R.J.F. Garcia,,,06/05/1985,,"Árvore, 4-6 m alt., copa arredondada; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000701,PMSP,,,Species,FABACEAE Copaifera langsdorffii Desf.,,Fabaceae,Copaifera,langsdorffii,,Desf.,V.C. Souza,--/--/1999,no,L. Rossi,"M. Bittar,J.C.R. Coelho",,13/09/1985,,"Árvore, 6 m alt., folhas jovens; frutos maduros com sementes pretas e arilo laranja.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000754,PMSP,,,Species,FABACEAE Delonix regia (Bojer ex Hook.) Raf.,,Fabaceae,Delonix,regia,,(Bojer ex Hook.) Raf.,R.J.F. Garcia,03/12/1985,no,R.J.F. Garcia,C. Lewkowicz,,03/12/1985,,"Árvore, 8 m alt., 50 cm DAP; flores laranjas, copa com 20 m de diâmetro. Ornamental.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000766,PMSP,,,Species,FABACEAE Dalbergia brasiliensis Vogel,,Fabaceae,Dalbergia,brasiliensis,,Vogel,J.R. Pirani,,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 6 m alt., 20 cm DAP; flores alvas em inflorescências ferrugíneas evidentes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000769,PMSP,,,Species,FABACEAE Anadenanthera colubrina (Vell.) Brenan,,Fabaceae,Anadenanthera,colubrina,,(Vell.) Brenan,V.C. Souza,--/11/1987,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 12 m alt., 40 cm DAP, copa umbelada; flores alvas; frutos verde-avermelhados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo ao lago.,,
PMSP,PMSP00000770,PMSP,,,Species,FABACEAE Cassia leptophylla Vogel,,Fabaceae,Cassia,leptophylla,,Vogel,J.R. Pirani,--/--/1988,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 10 m alt., 40 cm DAP, copa globosa, flores amarelas, visitadas por abelhas. Folhas retiradas para estudos paleobotânicos (UnG, 6/2001).",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Jardim em frente à casa da sede.,,
PMSP,PMSP00000791,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,S. Honda,et al.,,17/07/1986,,"Árvore, 6 m alt., 30 cm DAP, frutos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000794,PMSP,,,Species,FABACEAE Cajanus cajan (L.) Huth,,Fabaceae,Cajanus,cajan,,(L.) Huth,J.R. Pirani/ !S.T.S. Miotto,--/12/1997,no,G.M. Silva,"S. Honda,L.M. Rocha,N.L. Maciel",,17/07/1986,,"Arbusto, 3 m alt.; flores amarelas com glândulas pegajosas, melífera; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000798,PMSP,,,Species,FABACEAE Brownea grandiceps Jacq.,,Fabaceae,Brownea,grandiceps,,Jacq.,V.C. Souza,--/--/2000,no,S. Honda,,,15/09/1986,,"Árvore,  6 m alt., 40 cm DAP; folhas novas vermelhas; flores vermelhas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000820,PMSP,,,Species,FABACEAE Anadenanthera colubrina (Vell.) Brenan,,Fabaceae,Anadenanthera,colubrina,,(Vell.) Brenan,No determiner,,no,S. Honda,G. Hashimoto,,26/11/1986,,"Árvore, 6 m alt., 40 cm DAP, flores cremes; frutos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000832,PMSP,,,Species,FABACEAE Peltophorum dubium (Spreng.) Taub.,,Fabaceae,Peltophorum,dubium,,(Spreng.) Taub.,S. Honda,--/02/1987,no,S. Honda,M.S.F. Carneiro,,10/02/1987,,"Árvore, 6 m alt., 10 cm DAP (3 ramos); flores amarelas; frutos imaturos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000850,PMSP,,,Species,FABACEAE Calliandra brevipes Benth.,,Fabaceae,Calliandra,brevipes,,Benth.,V.C. Souza 1987/ E.R. Souza in REFLORA,--/--/2010,no,S. Honda,V.C. Souza,,23/04/1987,,"Arbusto, 1,5 m alt.; botões vermelhos, estames alvos na base e rosa forte no ápice.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000856,PMSP,,,Species,FABACEAE Senna spectabilis (DC.) H.S.Irwin & Barneby,,Fabaceae,Senna,spectabilis,,(DC.) H.S.Irwin & Barneby,G.O. Romão,25/09/1998,no,S. Honda,V.C. Souza,,23/04/1987,,"Árvore, 6 m alt., 15 cm DAP; flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000859,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda/ G.O. Romão,14/07/1987,no,V.C. Souza,,,12/05/1987,,"Arvoreta com ramos retorcidos, ca. 2 m alt.; flores amarelas; frutos castanho-escuros.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000935,PMSP,,,Species,FABACEAE Acacia mearnsii De Wild.,,Fabaceae,Acacia,mearnsii,,De Wild.,J.Y. Tamashiro,--/02/1998,no,S. Honda,M.O. Pedraz,,20/08/1987,,"Árvore, 6 m alt.; flores de cor creme, aromáticas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000944,PMSP,,,Species,FABACEAE Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,,Fabaceae,Senna,macranthera,,(DC. ex Collad.) H.S.Irwin & Barneby,J.C. Bueno,17/09/2008,no,L. Pacca,G.B. Oliveira,66,12/02/2008,,"Árvore, 15 m alt., 9,8 cm DAP; flores.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000985,PMSP,,,Species,FABACEAE Holocalyx balansae Micheli,,Fabaceae,Holocalyx,balansae,,Micheli,A. Sartori 12/1997/ FFESP,--/--/2016,no,S. Honda,,,04/09/1989,,"Árvore, 8 m alt., 30 cm DAP; flores verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001045,PMSP,,,Species,FABACEAE Brownea grandiceps Jacq.,,Fabaceae,Brownea,grandiceps,,Jacq.,V.C. Souza,--/--/2000,no,V.C. Souza,M.O. Pedraz,,09/10/1987,,"Árvore, 5 m alt.; flores com pétalas vermelhas e anteras amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001143,PMSP,,,Species,FABACEAE Tipuana tipu (Benth.) Kuntze,,Fabaceae,Tipuana,tipu,,(Benth.) Kuntze,V.C. Souza,26/11/1987,no,V.C. Souza,,,26/11/1987,,"Árvore, 6 m alt.; flores alaranjadas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Escada.,,
PMSP,PMSP00001159,PMSP,,,Species,FABACEAE Desmodium incanum (Sw.) DC.,,Fabaceae,Desmodium,incanum,,(Sw.) DC.,A.M.G.A.Tozzi,--/09/1997,no,V.C. Souza,,,04/12/1987,,"Erva semi-ereta, flores róseas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001221,PMSP,,,Species,FABACEAE Ceratonia siliqua L.,,Fabaceae,Ceratonia,siliqua,,L.,V.C. Souza,--/--/1988,no,M.O. Pedraz,"G. Hashimoto,S. Honda,J.H. Mitsuiki",,29/12/1987,,"Arvoreta, 3 m alt., 7 cm DAP; pedúnculos róseos, flores com filetes róseos; frutos imaturos verdes e maduros negro-arroxeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001243,PMSP,,,Species,FABACEAE Chamaecrista nictitans (L.) Moench,,Fabaceae,Chamaecrista,nictitans,,(L.) Moench,"J.P. Souza, V.R. Scalon",--/08/1999,no,M.M.A. Oliveira,,,14/02/1988,,"Arbusto, nectários extra-florais, flores, frutos imaturos, visitada por formigas.",Brasil,São Paulo,São Manoel,,,,METRO,,,,,,,
PMSP,PMSP00001250,PMSP,,,Species,FABACEAE Poecilanthe parviflora Benth.,,Fabaceae,Poecilanthe,parviflora,,Benth.,R.J.F. Garcia,--/05/2008,no,P. Bahia,,,30/12/1899,,Frutos.,Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001253,PMSP,,,Species,FABACEAE Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,,Fabaceae,Senna,macranthera,,(DC. ex Collad.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,M.O. Pedraz,,,01/03/1988,,"Árvore, 5 m alt., 20 cm DAP; flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001264,PMSP,,,Species,FABACEAE Anadenanthera peregrina (L.) Speg.,,Fabaceae,Anadenanthera,peregrina,,(L.) Speg.,J.Y.Tamashiro,--/02/1998,no,P. Bahia,,,27/02/1984,,"Árvore, 12 - 15 m alt.; fruto. Doação de Priscila Bahia.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001277,PMSP,,,Species,FABACEAE Senna pendula (Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,,Fabaceae,Senna,pendula,,(Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,G.O. Romão,14/07/1998,no,S. Honda,,,08/04/1988,,"Arvoreta, 3 m alt.; flores amarelas, estames pardos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001310,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda 04/05/1988/ G.O. Romão,14/08/1998,no,G.M. Ferrari,"M.O. Pedraz,L.F. Sanfilippo",,04/05/1988,,"Arvoreta, 3 m alt., 15 cm DAP; inflorescências amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001346,PMSP,,,Species,FABACEAE Erythrina speciosa Andrews,,Fabaceae,Erythrina,speciosa,,Andrews,No determiner,,no,M.S.F. Carneiro,"M.O. Pedraz,S.M.S. Almeida",,14/10/1988,,"Árvore,  7 m alt., 30 cm DAP, sem folhas; flores vermelhas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001537,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda (28/02/1994)/ V.C. Souza,--/--/1999,no,R. Guedes,,,28/02/1994,,"Árvore, 3-4 m alt.; flores amarelas; vagens aladas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Provinda de Peruíbe.,,
PMSP,PMSP00001383,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,R.J.F. Garcia,S. Honda,,02/05/1990,,"Arbusto, 2 m alt., frutos verdes, parasitado por erva-de-passarinho.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001433,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,S. Honda,,,04/11/1992,,"Árvore, 8 m alt.",Brasil,São Paulo,Cotia,,,,METRO,,,,,,,
PMSP,PMSP00001589,PMSP,,,Species,FABACEAE Senegalia martiusiana (Steud.) Seigler & Ebinger,,Fabaceae,Senegalia,martiusiana,,(Steud.) Seigler & Ebinger,S. Honda,02/04/2014,no,DEPAVE-5,,,23/07/1990,,"Árvore, 5-6 m alt.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001590,PMSP,,,Species,FABACEAE Andira anthelmia (Vell.) Benth.,,Fabaceae,Andira,anthelmia,,(Vell.) Benth.,W. Mantovani,--/11/1993,no,DEPAVE-5,,,23/07/1990,,"Árvore, 14-18 m alt., folíolos grabros e coriáceos; flores róseas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001632,PMSP,,,Species,FABACEAE Mimosa incana (Spreng.) Benth.,,Fabaceae,Mimosa,incana,,(Spreng.) Benth.,A.P. Savassi Coutinho 2009/ !S. Honda,--/--/2016,no,S.A.P. Godoy,"L.L. Silva,D.L. Pereira,G.M.P. Ferreira",175,24/05/1994,,"Arvoreta, ca. 2,5 m alt.; glomérulos com flores de estames amarelo-esverdeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Trilha 10, ca. 700 m.s.m. Antes da implantação do parque [Pq. Ecol. APA do Carmo]",,
PMSP,PMSP00001707,PMSP,,,Species,FABACEAE Desmodium adscendens (Sw.) DC.,,Fabaceae,Desmodium,adscendens,,(Sw.) DC.,A.M.G.A.Tozzi,--/06/1999,no,R.J.F. Garcia,"S.A.S. Stahlhauer,A.M. Brischi",510,25/05/1994,,"Erva rastejante, flores lilases.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Trilha 8, ca. 750 m.s.m. Antes da implantação do parque. [Pq. Ecol. APA do Carmo]",,
PMSP,PMSP00001891,PMSP,,,Species,FABACEAE Cajanus cajan (L.) Huth,,Fabaceae,Cajanus,cajan,,(L.) Huth,A.M.G.A.Tozzi,--/11/1997,no,R.J.F. Garcia,"S. Honda,D.L. Pereira,Rogério,V.C.R. Santos,S.A.S. Stahlhauer,Tati,S.J. De Sordi",355,26/05/1993,,"Subarbusto, ca. 1 m alt.; flores amarelas; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,AAntes da implantação do parque. [Aterro Jacuí],,
PMSP,PMSP00001894,PMSP,,,Species,FABACEAE Collaea speciosa (Loisel.) DC.,,Fabaceae,Collaea,speciosa,,(Loisel.) DC.,No determiner,,no,R.J.F. Garcia,"S. Honda,D.L. Pereira,Rogério,V.C.R. Santos,S.A.S. Stahlhauer,Tati,S.J. De Sordi",360,26/05/1993,,"Subarbusto, ca. 1 m alt.; flores vermelhas; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Antes da implantação do parque. [Aterro Jacuí],,
PMSP,PMSP00001982,PMSP,,,Species,FABACEAE Cassia javanica L.,,Fabaceae,Cassia,javanica,,L.,G.O. Romão,--/08/1998,no,G.M.P. Ferreira,,12,17/02/1995,,"Árvore, 8 m alt., 35+30 cm DAP; flores com pétlas rosas, filetes amarelos, anteras marrom-avermelhadas, estigma verde.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001987,PMSP,,,Species,FABACEAE Mimosa bimucronata (DC.) Kuntze,,Fabaceae,Mimosa,bimucronata,,(DC.) Kuntze,S.A.P.Godoy,16/01/1995,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",296,16/01/1995,,"Arvoreta ramificada, ca.4 m alt.; flores alvas em glomérulos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol (próximo ao córrego). Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00001989,PMSP,,,Species,FABACEAE Crotalaria micans Link,,Fabaceae,Crotalaria,micans,,Link,J.M.Soares 25/05/1997 / !A.M.Filliettaz,--/--/1998,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",298,16/01/1995,,"Arbusto, ca. 2 m alt.; flores amarelas, estandarte e alas com estrias marrons. Visitada por mangabas e formigas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002029,PMSP,,,Species,FABACEAE Mimosa bimucronata (DC.) Kuntze,,Fabaceae,Mimosa,bimucronata,,(DC.) Kuntze,S.A.P.Godoy,16/01/1995,no,S.A.P. Godoy,"R.J.F. Garcia,S. Honda,G.M.P. Ferreira",339,16/01/1995,,"Árvore, ca. 6 m alt.,30 cm DAP; glomérulos em botão creme-esverdeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo à lanchonete e o córrego. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002042,PMSP,,,Species,FABACEAE Tachigali denudata (Vogel) Oliveira-Filho,,Fabaceae,Tachigali,denudata,,(Vogel) Oliveira-Filho,No determiner,,no,S.A.P. Godoy,"R.J.F. Garcia,G.M.P. Ferreira,L.F. Neves,A.S. Bellezzo",437,18/04/1995,,"Árvore, ca. 18 m alt.,80 cm DAP; frutos abertos expondo envoltório de sementes paleáceo.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo à cerca.,,
PMSP,PMSP00002114,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,R.J.F. Garcia,"G.M.P. Ferreira,M. Heineberg",669,20/04/1995,,"Árvore, 6 m alt., 10 cm DAP, frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Estrada de acesso.,,
PMSP,PMSP00002335,PMSP,,,Species,FABACEAE Canavalia picta Mart. ex Benth.,,Fabaceae,Canavalia,picta,,Mart. ex Benth.,L.P.Queiroz,--/--/1999,no,R.J.F. Garcia,"S. Honda,G.M.P. Ferreira,A.M. Brischi",620,27/03/1995,,Trepadeira; flores roxas.,Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha do campo de futebol. Antes da implantação do parque [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002366,PMSP,,,Species,FABACEAE Machaerium nyctitans (Vell.) Benth.,,Fabaceae,Machaerium,nyctitans,,(Vell.) Benth.,A.Sartori,--/12/1997,no,R.J.F. Garcia,"S. Honda,G.M.P. Ferreira,A.M. Brischi",652,27/03/1995,,"Árvore, ca. 7 m alt.,22 cm DAP; botões florais marrom-esverdeados, flores púrpureas de perfume suave.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Trilha para o campo e futebol. Antes da implantação do parque. [Pq. Ecol. APA do Carmo],,
PMSP,PMSP00002572,PMSP,,,Species,FABACEAE Sesbania punicea (Cav.) Burkart,,Fabaceae,Sesbania,punicea,,(Cav.) Burkart,R.Monteiro,--/03/2003,no,R.J.F. Garcia,G.M.P. Ferreira,770,19/01/1996,,"Arvoreta, 2 m alt.; flores laranjas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00003722,PMSP,,,Species,FABACEAE Machaerium villosum Vogel,,Fabaceae,Machaerium,villosum,,Vogel,A.Sartori,--/12/1997,no,H. Ogata,"M. Heineberg,D.A. Nascimento",42,23/03/1995,,"Árvore, 13,3 cm DAP.",Brasil,São Paulo,Cotia,,,,METRO,,,,,,,
PMSP,PMSP00002511,PMSP,,,Species,FABACEAE Sesbania punicea (Cav.) Burkart,,Fabaceae,Sesbania,punicea,,(Cav.) Burkart,R.Monteiro,--/03/2003,no,S. Honda,,6,11/09/1995,,"Arvoreta, ca. 2,5 m alt., 3 cm DAP; flores laranja-avermelhadas; frutos imaturos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Ex-campo cinófilo.,,
PMSP,PMSP00002512,PMSP,,,Species,"FABACEAE paubrasilia echinata (Lam.) E.Gagnon, H.C.Lima & G.P.Lewis",,Fabaceae,paubrasilia,echinata,,"(Lam.) E.Gagnon, H.C.Lima & G.P.Lewis",S. Honda 11/9/1995/ REFLORA,--/--/2016,no,S.A.P. Godoy,S. Honda,780,11/09/1995,,"Árvore, 7 m alt., 20 cm DAP, caule com espinhos, flores amarelas, fragrantes de 'jasmim', estandarte vináceo.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00002658,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,"G.O. Romão, V.C. Souza",--/--/1999,no,R. Simão-Bianchini,"R.J.F. Garcia,G.M.P. Ferreira,L.F. Neves",884,17/01/1996,,"Arvoreta, 3 m alt., flores com sépalas alaranjadas e pétalas e anteras de cor amarelo-ouro.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Solo brejoso.,,
PMSP,PMSP00002719,PMSP,,,Species,FABACEAE Mimosa bimucronata (DC.) Kuntze,,Fabaceae,Mimosa,bimucronata,,(DC.) Kuntze,specieslink,--/04/2015,no,R.J.F. Garcia,"G.M.P. Ferreira,C.M.A. Pimentel",798,19/03/1996,,"Árvore, 4 m alt., flores brancas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Estrada da Vargem Grande, 433. Área tombada pelo CONDEPHAAT(S23°52'00"", W46°42'00"").",,
PMSP,PMSP00002790,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,G.M.P. Ferreira,"R.J.F. Garcia,C.M.A. Pimentel",105,16/05/1996,,"Arvoreta, 2 m alt., frutos pardos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Sítio à Estrada da Vargem Grande, 20, terreno alagadiço.",,
PMSP,PMSP00002857,PMSP,,,Species,FABACEAE Machaerium oblongifolium Vogel,,Fabaceae,Machaerium,oblongifolium,,Vogel,A.Sartori,--/12/1997,no,R.J.F. Garcia,G.M.P. Ferreira,910,02/03/1996,,"Arvoreta, 1,5 m alt.; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00002873,PMSP,,,Species,FABACEAE Tachigali denudata (Vogel) Oliveira-Filho,,Fabaceae,Tachigali,denudata,,(Vogel) Oliveira-Filho,R.J.F. Garcia 15/10/1996/ REFLORA,--/--/2010,no,R.J.F. Garcia,D.L. Pereira,911,15/10/1996,,"Árvore, 15 m alt.; botões verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Mata secundária degradada.,,
PMSP,PMSP00003064,PMSP,,,Species,FABACEAE Piptadenia gonoacantha (Mart.) J.F.Macbr.,,Fabaceae,Piptadenia,gonoacantha,,(Mart.) J.F.Macbr.,R.J.F. Garcia,--/--/1995,no,R.J.F. Garcia,S.A.P. Godoy,517,16/11/1994,,"Árvore, 8 m alt., 15 cm DAP, caule com cristas, ca. 2 cm, aculeadas; flores branco-esverdeadas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"(S23°39'47"", W46°46'21""). Trilha Principal.",,
